([-1, 0, 0, -1, 1, 0, -1, 1, 0, 0, -1, 0, 1, 1, 1, -1, 0], [1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1])
([1, 0, 0, -1, 1, 0, -1, 1, 0, -1, -1, 0, 1, 1, 1, -1, 0], [1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [50, 3, 3, 7, 9, 526, 41, 3, 3, 3, 94, 11, 74, 39, 5, 11])
([-1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [177, 14, 26, 219, 40, 0, 140, 34, 80, 60, 24, 50, 227, 28, 28, 12])
([1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 2, 2, 333, 1, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1])
([-1, 0, 0, 0, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [17, 7, 5, 0, 27, 0, 0, 13, 92, 9, 11, 5, 35, 36, 7, 7])
([1, 0, 0, 0, 1, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0], [223, 1, 1, 0, 1, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1])
([-1, 1, 0, 0, 1, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 7, 5, 0, 7, 0, 0, 0, 11, 3, 9, 11, 9, 11, 11, 3])
([1, 1, 0, 0, 1, 0, 1, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0], [0, 2, 2, 0, 83, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 3])
([-1, 1, 0, 0, 1, 1, 1, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0], [0, 5, 5, 0, 0, 0, 0, 0, 13, 11, 0, 7, 7, 13, 36, 9])
([1, 1, 0, 0, 1, 1, 1, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0], [0, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0, 2, 25, 3, 0, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 15, 21, 4, 25, 101, 51, 45, 19, 19, 35, 10, 1745, 15, 39, 13])
([-1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 12, 2, 2, 0, 2, 2, 23, 29, 2, 2, 161, 2, 2, 2])
([1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0], [4, 19, 7, 5, 23, 0, 460, 5, 23, 15, 149, 4, 0, 5, 4, 17])
([-1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0], [2, 2, 2, 2, 2, 0, 0, 2, 2, 138, 1, 1, 0, 2, 1, 1])
([1, 0, 0, 0, 0, 0, 1, 1, 0, 0, -1, 0, 0, -1, 0, 0, 0], [25, 15, 9, 257, 13, 0, 0, 3, 5, 0, 13, 5, 0, 5, 23, 41])
([-1, 0, 0, 0, 1, 0, 1, 1, 0, 0, -1, 0, 0, -1, 0, 0, 0], [2, 3, 2, 0, 37, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1])
([1, 0, 0, 0, 1, -1, 1, 1, 0, 0, -1, 0, 0, -1, 0, 0, 0], [3, 8, 4, 0, 0, 0, 0, 3, 12, 0, 2, 2, 0, 2, 2, 14])
([-1, 0, 0, 0, 1, -1, 1, 1, 0, 0, -1, 0, 0, -1, 0, 1, 0], [28, 1, 1, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1])
([1, 0, 0, -1, 1, -1, 1, 1, 0, 0, -1, 0, 0, -1, 0, 1, 0], [2, 2, 0, 0, 0, 0, 0, 2, 2, 0, 1, 3, 0, 1, 0, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [42, 20, 16, 26, 12, 34, 30, 10, 20, 24, 457, 64, 370, 36, 38, 46])
([-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [15, 7, 40, 28, 20, 30, 5, 385, 60, 56, 0, 9, 36, 7, 7, 5])
([1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0], [2, 2, 2, 3, 2, 5, 2, 2, 0, 2, 0, 3, 389, 108, 2, 2])
